feature,type,importance,share,cum_share
SVD #223,Text (SVD),0.48848745059966386,0.0008387992148717467,0.9240604495253094
SVD #201,Text (SVD),0.4827961032088569,0.0008290263993836295,0.8285776723812803
SVD #122,Text (SVD),0.4524659425845021,0.0007769453993755194,0.44183654643638387
SVD #111,Text (SVD),0.44721483317754807,0.0007679285322229414,0.40452467347562876
SVD #232,Text (SVD),0.43075764548662315,0.0007396693085782014,0.9426256510942843
SVD #065,Text (SVD),0.43073591588703336,0.0007396319959081358,0.26586618947335794
SVD #234,Text (SVD),0.42195954348641607,0.0007245617740016718,0.9471604705622303
SVD #072,Text (SVD),0.41480841849603567,0.0007122823223596342,0.291862957592773
SVD #045,Text (SVD),0.3954557708925847,0.000679051201282651,0.20003142390496478
SVD #079,Text (SVD),0.38517835697359276,0.0006614034874763297,0.31730147200451886
SVD #191,Text (SVD),0.36613989370748473,0.0006287118635249425,0.7312770846267326
SVD #221,Text (SVD),0.3412088590453195,0.0005859018951728529,0.9216675276360875
SVD #248,Text (SVD),0.33524615728358875,0.0005756631274212674,0.9893705754082583
SVD #032,Text (SVD),0.3257287826664234,0.0005593205041937545,0.17082269411935416
SVD #158,Text (SVD),0.31905336763795455,0.0005478579110852744,0.6096001021087708
SVD #138,Text (SVD),0.31562951651004645,0.0005419786942611748,0.5364525796113105
SVD #080,Text (SVD),0.2958569726677939,0.0005080265543842163,0.31780949855890306
SVD #106,Text (SVD),0.2901433032440664,0.0004982154089376425,0.3888042576484663
SVD #076,Text (SVD),0.28615009382879103,0.0004913585267019994,0.3023415882084493
SVD #217,Text (SVD),0.2677643328244042,0.00045978768107153876,0.9151558793500487
SVD #167,Text (SVD),0.25265249448981275,0.0004338386047651498,0.6380604862338699
SVD #164,Text (SVD),0.2388616071550105,0.0004101577805093449,0.6350275340726875
SVD #117,Text (SVD),0.23773989508459284,0.00040823164872679147,0.41880157494132936
SVD #103,Text (SVD),0.20007748676210832,0.0003435601848185621,0.38475115294290496
SVD #247,Text (SVD),0.1962408286148567,0.0003369721223459329,0.988794912280837
SVD #028,Text (SVD),0.1741557774997256,0.00029904909379518247,0.15375651276083013
SVD #219,Text (SVD),0.167712387821548,0.00028798491968685415,0.919800914236521
SVD #081,Text (SVD),0.1660103932125903,0.0002850623640716442,0.3180945609229747
SVD #254,Text (SVD),0.15550762439635374,0.0002670276853378836,0.9960706875120879
SVD #061,Text (SVD),0.13054923556492687,0.00022417074616664208,0.2596494121572376
SVD #108,Text (SVD),0.1236054865182616,0.00021224738715003018,0.3908272897030748
SVD #148,Text (SVD),0.1208110050293528,0.0002074488833686273,0.5734110866306079
SVD #250,Text (SVD),0.1171130652083656,0.00020109901907901405,0.9911136725330555
SVD #089,Text (SVD),0.10838992669985173,0.00018612020698634577,0.33667209276051324
SVD #253,Text (SVD),0.08777477999160661,0.00015072120369134941,0.99580365982675
SVD #069,Text (SVD),0.08321576846100767,0.00014289276247394822,0.2797103328319268
SVD #133,Text (SVD),0.08167042287524398,0.0001402391944806398,0.507666768728707
SVD #075,Text (SVD),0.07051069800936795,0.00012107643309508054,0.3018502296817473
SVD #142,Text (SVD),0.06129897421071401,0.00010525865378377796,0.550477249464829
duration,Numeric,0.059244343195519966,0.00010173057362474779,0.9999177681702376
ratings,Numeric,0.047888953836153034,8.223182976242895e-05,1.0
SVD #115,Text (SVD),0.021711779216888296,3.728207006799847e-05,0.40981847962759316
