Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
bbc rough,3.8122862056616595,105,44,0.0001961751451696074,0.029829832074075736,8.220672749964502e-05,0.002755856194413128
ebony time,3.811842953529488,74,31,0.0001382567689766757,0.029829832074075736,5.7918376192931715e-05,0.0019416259551547038
amateurs africa,3.8107603940478665,129,54,0.00024101517835123197,0.029829832074075736,0.00010089007465865525,0.0033821871476888386
riding ebony,3.80878814104365,122,51,0.00022793683533992482,0.029829832074075736,9.528507051095217e-05,0.0031942878617061254
college ebony,3.8083657064924936,67,28,0.00012517842596536854,0.029829832074075736,5.231337204522865e-05,0.0017537266691719905
ebony goddess,3.8080129477150897,146,61,0.00027277686852154935,0.029829832074075736,0.00011396841766996241,0.0038206188149818364
dildo ebony,3.8067105939689374,436,182,0.0008145939361328461,0.029829832074075736,0.0003400369182939862,0.011399223349617939
brazilian ebony,3.801958089477124,137,57,0.00025596185607844015,0.029829832074075736,0.00010649507880635832,0.003570086433671552
kenya,3.8017555749152514,125,52,0.00023354183948762788,0.029829832074075736,9.71534052268532e-05,0.0032569209570336966
ebony mature,3.8006672571509266,255,106,0.0004764253525547609,0.029829832074075736,0.00019804347988550846,0.006639108104722536
amateurs airplane,3.7924776333267443,75,31,0.00014012510369257672,0.029829832074075736,5.7918376192931715e-05,0.0019416259551547038
boobs ebony,3.789566057969063,80,33,0.00014946677727208186,0.029829832074075736,6.165504562473376e-05,0.002066892145809846
jasmine black,3.789566057969063,80,33,0.00014946677727208186,0.029829832074075736,6.165504562473376e-05,0.002066892145809846
ebony fingering,3.7889136578089926,536,221,0.0010014274077229483,0.029829832074075736,0.0004129019722141261,0.013841914067393211
girl butt,3.7869922732429497,170,70,0.00031761690170317394,0.029829832074075736,0.0001307834301130716,0.004384316672929977
shelovesblack,3.785687246570626,158,65,0.00029519688511236167,0.029829832074075736,0.0001214417565335665,0.004071151196292121
ebony doggystyle,3.7850647415347773,107,44,0.00019991181460140948,0.029829832074075736,8.220672749964502e-05,0.002755856194413128
babe black,3.7844612226170242,163,67,0.0003045385586918668,0.029829832074075736,0.00012517842596536854,0.004196417386947263
amateur casero,3.7813923453336113,295,121,0.0005511587411908018,0.029829832074075736,0.0002260685006240238,0.007578604534636102
licking black,3.777593352865116,66,27,0.00012331009124946752,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
rough black,3.777593352865116,66,27,0.00012331009124946752,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
interracial mom,3.7749193822233518,120,49,0.00022420016590812277,0.029829832074075736,9.154840107915013e-05,0.0030690216710509833
ebony thot,3.7704831150231333,113,46,0.00021112182289681562,0.029829832074075736,8.594339693144706e-05,0.00288112238506827
ebony french,3.770118456449158,172,70,0.000321353571134976,0.029829832074075736,0.0001307834301130716,0.004384316672929977
ebony onlyfans,3.7701183169789365,86,35,0.000160676785567488,0.029829832074075736,6.53917150565358e-05,0.0021921583364649883
girl bbc,3.7682556971510492,155,63,0.0002895918809646586,0.029829832074075736,0.00011770508710176445,0.003945885005636978
cumshot black,3.7558982876197633,67,27,0.00012517842596536854,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
hair blow,3.7551561609097,144,58,0.0002690401990897473,0.029829832074075736,0.00010836341352225934,0.003632719528999123
ebony latina,3.7545097920926547,77,31,0.0001438617731243788,0.029829832074075736,5.7918376192931715e-05,0.0019416259551547038
transformation amateur,3.7545097920926547,77,31,0.0001438617731243788,0.029829832074075736,5.7918376192931715e-05,0.0019416259551547038
dick black,3.750740002123214,1681,675,0.0031406706574296198,0.029829832074075736,0.0012611259332331907,0.042277339346110485
cum ebony,3.7451720890654947,160,64,0.0002989335545441637,0.029829832074075736,0.00011957342181766547,0.00400851810096455
teen black,3.7451720304779768,115,46,0.00021485849232861766,0.029829832074075736,8.594339693144706e-05,0.00288112238506827
lightskin ebony,3.745171919378691,75,30,0.00014012510369257672,0.029829832074075736,5.605004147703069e-05,0.0018789928598271326
south africa,3.7451718702386256,65,26,0.0001214417565335665,0.029829832074075736,4.85767026134266e-05,0.0016284604785168483
black white,3.7404497894136584,612,244,0.0011434208461314262,0.029829832074075736,0.00045587367067984963,0.015282475259927345
cumshot daddys,3.7369514598847093,88,35,0.00016441345499929003,0.029829832074075736,6.53917150565358e-05,0.0021921583364649883
head ebony,3.735256441945014,73,29,0.00013638843426077467,0.029829832074075736,5.418170676112967e-05,0.0018163597644995616
black cream,3.734524642508987,68,27,0.00012704676068126956,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
dick blacked,3.733973908778399,194,77,0.00036245693488479847,0.029829832074075736,0.0001438617731243788,0.004822748340222974
masturbation ebony,3.7303243926896408,293,116,0.0005474220717589998,0.029829832074075736,0.00021672682704451868,0.007265439057998246
ebony squirting,3.72660971977754,352,139,0.0006576538199971601,0.029829832074075736,0.0002596985255102422,0.008706000250532381
totalfetishxxx,3.7247077992124433,71,28,0.00013265176482897263,0.029829832074075736,5.231337204522865e-05,0.0017537266691719905
black brunette,3.716285171991901,227,89,0.00042411198050953226,0.029829832074075736,0.00016628178971519106,0.005574345484153827
lesbians ebony,3.7156276399880546,74,29,0.0001382567689766757,0.029829832074075736,5.418170676112967e-05,0.0018163597644995616
ebony lesbians,3.714428571296562,166,65,0.00031014356283956985,0.029829832074075736,0.0001214417565335665,0.004071151196292121
girl euro,3.7134631191391403,92,36,0.00017188679386289412,0.029829832074075736,6.726004977243683e-05,0.002254791431792559
ebony small,3.7109561498660324,64,25,0.00011957342181766547,0.029829832074075736,4.6708367897525575e-05,0.0015658273831892773
black pussy,3.707850580452788,744,290,0.0013900410286303612,0.029829832074075736,0.0005418170676112967,0.018163597644995616
sheisnovember big,3.7063527783664436,113,44,0.00021112182289681562,0.029829832074075736,8.220672749964502e-05,0.002755856194413128
black black,3.704530198966281,432,168,0.000807120597269242,0.029829832074075736,0.0003138802322713719,0.010522360015031942
squirt ebony,3.7030465911841985,139,54,0.0002596985255102422,0.029829832074075736,0.00010089007465865525,0.0033821871476888386
riding africa,3.6978661386650606,62,24,0.00011583675238586343,0.029829832074075736,4.484003318162455e-05,0.001503194287861706
white boy,3.6978661386650606,62,24,0.00011583675238586343,0.029829832074075736,4.484003318162455e-05,0.001503194287861706
blonde ebony,3.6938412104127423,658,254,0.0012293642430628731,0.029829832074075736,0.00047455701783885986,0.015908806213203057
white slut,3.6920606145778705,83,32,0.00015507178141978492,0.029829832074075736,5.978671090883274e-05,0.002004259050482275
boobs black,3.6892340493880975,1341,516,0.002505436854023272,0.029829832074075736,0.0009640607134049279,0.03231867718902668
africa,3.687456694115242,510,196,0.0009528507051095218,0.029829832074075736,0.0003661936043166005,0.012276086684203933
bbc white,3.686676431360436,151,58,0.0002821185421010545,0.029829832074075736,0.00010836341352225934,0.003632719528999123
nigeria,3.684954565807225,159,61,0.0002970652198282627,0.029829832074075736,0.00011396841766996241,0.0038206188149818364
pov ebony,3.684852666612923,232,89,0.00043345365408903737,0.029829832074075736,0.00016628178971519106,0.005574345484153827
riding black,3.6846303698260097,73,28,0.00013638843426077467,0.029829832074075736,5.231337204522865e-05,0.0017537266691719905
view whore,3.6846303698260097,73,28,0.00013638843426077467,0.029829832074075736,5.231337204522865e-05,0.0017537266691719905
old ebony,3.680076859586585,68,26,0.00012704676068126956,0.029829832074075736,4.85767026134266e-05,0.0016284604785168483
yrs old,3.6771535013790513,76,29,0.00014199343840847777,0.029829832074075736,5.418170676112967e-05,0.0018163597644995616
kenyan,3.676310178429031,118,45,0.00022046349647632073,0.029829832074075736,8.407506221554604e-05,0.002818489289740699
ebony blowjob,3.6743155794349436,386,147,0.0007211772003377949,0.029829832074075736,0.00027464520323745037,0.00920706501315295
ejaculated,3.672240380339713,71,27,0.00013265176482897263,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
rough bbc,3.672240380339713,71,27,0.00013265176482897263,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
wife hotwifexxx,3.672240380339713,71,27,0.00013265176482897263,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
