Group,AdjustedRate,Gap_vs_Priv,threshold
Asian Women,0.3395853899308983,0.01720096170705404,0.37
Black Women,0.35703100532414656,0.03464657710030228,0.37
Latina Women,0.43354655294953803,0.11116212472569376,0.37
Other,0.3433028358338392,0.020918407609994916,0.37
White Women,0.3223844282238443,0.0,0.37
Asian Women,0.3323461665021389,0.012916204736410697,0.375
Black Women,0.3504541183839649,0.03102415661823671,0.375
Latina Women,0.4232409381663113,0.10381097640058312,0.375
Other,0.3383813199202151,0.018951358154486897,0.375
White Women,0.3194299617657282,0.0,0.375
Asian Women,0.3290556103981573,0.012406322945950121,0.38
Black Women,0.34356404635139365,0.026914758899186486,0.38
Latina Women,0.4154228855721393,0.09877359811993214,0.38
Other,0.3349557713988379,0.01830648394663076,0.38
White Women,0.31664928745220716,0.0,0.38
Asian Women,0.32181638696939785,0.007252605252331457,0.385
Black Women,0.3347948637644848,0.020231082047418414,0.385
Latina Women,0.4036958066808813,0.0891320249638149,0.385
Other,0.3295355996877981,0.014971817970731716,0.385
White Women,0.3145637817170664,0.0,0.385
Asian Women,0.3181967752550181,0.005892291417687545,0.39
Black Women,0.329157532101472,0.016853048264141413,0.39
Latina Women,0.39623312011371714,0.08392863627638658,0.39
Other,0.32588240395455725,0.013577920117226694,0.39
White Women,0.31230448383733056,0.0,0.39
Asian Women,0.31161566304705496,0.004524943547576321,0.395
Black Women,0.3210147196993423,0.013924000199863673,0.395
Latina Women,0.3855721393034826,0.07848141980400397,0.395
Other,0.32049475327378374,0.013404033774305102,0.395
White Women,0.30709071949947864,0.0,0.395
Asian Women,0.3073379401118789,0.003201687070516379,0.4
Black Women,0.3150642029439399,0.010927949902577339,0.4
Latina Women,0.3777540867093106,0.07361783366794805,0.4
Other,0.3168740785708091,0.012737825529446578,0.4
White Women,0.30413625304136255,0.0,0.4
Asian Women,0.2977953274103323,-0.002169914160748687,0.405
Black Women,0.30817413091136864,0.008208889340287628,0.405
Latina Women,0.36886993603411516,0.06890469446303416,0.405
Other,0.31100945277946407,0.011044211208383059,0.405
White Women,0.299965241571081,0.0,0.405
Asian Women,0.2935176044751563,-0.0019290413364529968,0.41
Black Women,0.30097087378640774,0.005524227974798457,0.41
Latina Women,0.35927505330490406,0.06382840749329477,0.41
Other,0.30554591969473593,0.010099273883126647,0.41
White Women,0.2954466458116093,0.0,0.41
Asian Women,0.2912142152023692,-0.0011041720065289584,0.415
Black Women,0.2953335421233949,0.003015154914496776,0.415
Latina Women,0.35358919687277895,0.06127080966388082,0.415
Other,0.30171927846674185,0.009400891257843713,0.415
White Women,0.29231838720889813,0.0,0.415
Asian Women,0.2856202698256005,-0.0035698587805864657,0.42
Black Women,0.2909489508299405,0.001758822223753509,0.42
Latina Women,0.3482587064676617,0.059068577861474736,0.42
Other,0.29799020032954643,0.008800071723359448,0.42
White Women,0.289190128606187,0.0,0.42
Asian Women,0.27903915761763737,-0.006153751662863138,0.425
Black Women,0.2815533980582524,-0.003639511222248093,0.425
Latina Women,0.3393745557924662,0.05418164651196572,0.425
