feature,importance
svd_comp_169,0.002363236094601596
svd_comp_205,0.0023562913413014905
svd_comp_133,0.002354561768317181
svd_comp_83,0.00235381230302961
svd_comp_242,0.0023533269481077284
svd_comp_181,0.002351428550071949
svd_comp_224,0.002350133952994053
svd_comp_187,0.0023382542992377553
svd_comp_179,0.0023288056192078597
svd_comp_88,0.002327165576280054
svd_comp_164,0.002323988026901261
svd_comp_210,0.0023238409589109678
svd_comp_115,0.0023222151918443745
svd_comp_138,0.0023160170281773577
svd_comp_250,0.0023160128887754314
svd_comp_168,0.002312578090905115
svd_comp_87,0.0023067663544020407
svd_comp_89,0.002303592032526983
svd_comp_203,0.0023031736415594084
svd_comp_154,0.002299574849577974
svd_comp_75,0.0022980590003518864
svd_comp_225,0.0022979018438978732
svd_comp_196,0.002294785187078181
svd_comp_219,0.0022918938230955454
svd_comp_173,0.0022832651107643977
svd_comp_228,0.0022802103074425965
svd_comp_142,0.0022745779739650005
svd_comp_185,0.002272595092953591
svd_comp_229,0.0022711508339576876
svd_comp_237,0.0022619483961533737
svd_comp_175,0.0022576652296220595
svd_comp_151,0.0022551262116623848
svd_comp_230,0.002250589563877294
svd_comp_234,0.002241726052036656
svd_comp_149,0.002240301915945314
svd_comp_213,0.0022396866591934224
svd_comp_170,0.0022396863199497007
svd_comp_127,0.0022376872505152257
svd_comp_236,0.0022372492260591867
svd_comp_255,0.0022348357778815024
svd_comp_84,0.0022309954265029735
svd_comp_189,0.0022302865225135066
svd_comp_243,0.0022255528812247095
svd_comp_191,0.002217886458742335
svd_comp_145,0.002216634886578868
svd_comp_252,0.0022151867153027897
svd_comp_141,0.0022130386385504244
svd_comp_222,0.002210119801402087
svd_comp_105,0.00220022783867677
svd_comp_238,0.002196936299460706
svd_comp_244,0.0021956732903210922
svd_comp_245,0.002195606356237061
svd_comp_165,0.002192754564891347
svd_comp_201,0.002191663545784288
svd_comp_148,0.0021874616124028584
svd_comp_239,0.002187328103749964
svd_comp_178,0.0021867074151390798
svd_comp_253,0.0021743939315269443
svd_comp_227,0.002168026821214454
svd_comp_235,0.002165390483717101
svd_comp_91,0.002162916301482896
svd_comp_216,0.0021617657257455166
svd_comp_241,0.002157570090113588
svd_comp_233,0.002153886081123855
svd_comp_177,0.0021519823523819277
svd_comp_204,0.002136737438210427
svd_comp_256,0.0021366996518304075
svd_comp_166,0.002115459704505479
svd_comp_254,0.00211539115448773
svd_comp_211,0.002113837009696107
svd_comp_231,0.0021106274034912637
svd_comp_232,0.002084787557465832
